,,,% Change Over Previous Year,,,,,,,,,,,,,,
Store Type,Metric,Includes Online Sales,Sep '22,Oct '22,Nov '22,Dec '22,Jan '23,Feb '23,Six months to Feb '23,Mar '23,Apr '23,May '23,Jun '23,Jul '23,Aug '23,Six months to  Aug '23,Year to Aug '23
Same Stores,Net Sales,1,111.0,112.8,96.2,116.9,110.9,121.3,110.0,111.9,101.7,104.4,96.6,,,103.3,107.6
Same Stores,Customer Numbers,1,97.1,101.4,90.3,101.8,98.5,103.9,98.4,100.8,94.6,96.3,85.5,,,93.9,96.7
Same Stores,Average Purchase per Customer,1,114.4,111.3,106.5,114.8,112.6,116.8,111.8,111.0,107.5,108.4,112.9,,,110.0,111.3
Directly-Run Stores,Net Sales,1,114.1,117.0,99.2,120.7,114.9,125.5,113.7,115.4,105.9,109.0,100.1,,,107.3,111.3
Directly-Run Stores,Customer Numbers,1,99.6,105.0,93.3,105.3,102.2,107.7,101.7,104.0,98.5,100.7,88.6,,,97.5,100.1
Directly-Run Stores,Average Purchase per Customer,1,114.5,111.4,106.4,114.7,112.4,116.6,111.8,110.9,107.5,108.3,113.0,,,110.0,111.2
