,,,% Change Over Previous Year,,,,,,,,,,,,,,
Store Type,Metric,Includes Online Sales,Sep '21,Oct '21,Nov '21,Dec '21,Jan '22,Feb '22,Six months to Feb '22,Mar '22,Apr '22,May '22,Jun '22,Jul '22,Aug '22,Six months to  Aug '22,Year to Aug '22
Same Stores,Net Sales,1,80.9,95.2,95.4,88.9,92.9,86.0,91.0,89.3,115.8,117.5,89.8,106.4,114.9,104.7,96.7
Same Stores,Customer Numbers,1,81.0,95.5,100.9,94.8,96.3,87.4,93.9,84.2,103.9,109.6,84.2,93.7,100.2,95.4,94.6
Same Stores,Average Purchase per Customer,1,99.9,99.7,94.5,93.7,96.4,98.4,96.9,106.1,111.5,107.3,106.6,113.6,114.8,109.7,102.1
Directly-Run Stores,Net Sales,1,80.2,94.8,94.9,91.8,93.7,88.6,91.8,92.3,118.7,119.8,91.1,108.1,118.4,107.0,98.2
Directly-Run Stores,Customer Numbers,1,80.0,94.8,100.1,97.6,96.6,89.8,94.4,86.7,106.5,111.7,85.4,95.2,103.0,97.4,95.9
Directly-Run Stores,Average Purchase per Customer,1,100.3,100.1,94.8,94.1,97.0,98.6,97.2,106.4,111.4,107.3,106.7,113.6,115.0,109.8,102.4
