,,,% Change Over Previous Year,,,,,,,,,,,,,,
Store Type,Metric,Includes Online Sales,Sep '18,Oct '18,Nov '18,Dec '18,Jan '19,Feb '19,Six months to Feb '19,Mar '19,Apr '19,May '19,Jun '19,Jul '19,Aug '19,Six months to Aug '19,Year to Aug '19
Same Stores,Net Sales,1,106.0,90.0,95.7,105.2,99.0,103.0,99.1,104.5,98.3,98.2,127.3,90.0,109.9,103.5,101.0
Same Stores,Customer Numbers,1,103.4,94.5,98.3,104.3,99.1,104.5,100.4,110.1,100.7,101.3,125.6,94.2,113.5,106.6,103.3
Same Stores,Average Purchase per Customer,1,102.5,95.3,97.3,100.9,99.9,98.6,98.7,94.9,97.6,96.9,101.4,95.5,96.8,97.1,97.8
Directly-Run Stores,Net Sales,1,105.4,90.0,95.6,105.2,99.1,103.0,99.0,104.2,98.4,98.3,126.9,89.7,109.5,103.4,100.9
Directly-Run Stores,Customer Numbers,1,103.0,94.5,98.4,104.3,99.2,104.5,100.4,109.9,100.8,101.5,125.5,94.2,113.3,106.6,103.3
Directly-Run Stores,Average Purchase per Customer,1,102.3,95.2,97.2,100.8,99.8,98.6,98.7,94.9,97.6,96.8,101.1,95.3,96.7,97.0,97.7
