,,,% Change Over Previous Year,,,,,,,,,,,,,,
Store Type,Metric,Includes Online Sales,Sep '19,Oct '19,Nov '19,Dec '19,Jan '20,Feb '20,Six months to Feb '20,Mar '20,Apr '20,May '20,Jun '20,Jul '20,Aug '20,Six months to Aug '20,Year to Aug '20
Same Stores,Net Sales,1,95.8,98.1,94.5,94.7,92.1,100.8,95.4,72.2,43.5,81.9,126.2,104.4,129.8,90.4,93.2
Same Stores,Customer Numbers,1,100.4,105.6,96.7,97.8,94.9,99.9,98.8,67.6,39.4,68.7,113.9,102.5,126.0,85.6,92.4
Same Stores,Average Purchase per Customer,1,95.4,92.9,97.7,96.9,97.1,100.8,96.5,106.9,110.4,119.1,110.8,101.9,103.0,105.6,100.8
Directly-Run Stores,Net Sales,1,95.7,97.4,94.2,94.5,91.9,100.3,95.1,71.9,42.3,80.3,126.2,104.7,129.9,89.9,92.8
Directly-Run Stores,Customer Numbers,1,100.5,105.0,96.7,97.8,94.9,99.6,98.7,67.5,38.5,67.6,114.2,102.7,126.1,85.4,92.2
Directly-Run Stores,Average Purchase per Customer,1,95.3,92.7,97.5,96.6,96.9,100.6,96.3,106.6,109.8,118.9,110.5,101.9,103.0,105.3,100.6
