Store Type,Metric,Includes Online Sales,Period,Percentage Change,Term,Period Type
Same Stores,Average Purchase per Customer,1,Six months to Feb '17,-0.09999999999999432,September 2016 to August 2017,Biannual
Directly-Run Stores,Net Sales,0,Six months to Feb '17,-0.4000000000000057,September 2016 to August 2017,Biannual
Directly-Run Stores,Customer Numbers,0,Six months to Feb '17,0.5999999999999943,September 2016 to August 2017,Biannual
Directly-Run Stores,Average Purchase per Customer,0,Six months to Feb '17,-0.9000000000000057,September 2016 to August 2017,Biannual
Directly-Run Stores,Net Sales,1,Six months to Feb '17,0.4000000000000057,September 2016 to August 2017,Biannual
Directly-Run Stores,Customer Numbers,1,Six months to Feb '17,0.4000000000000057,September 2016 to August 2017,Biannual
Directly-Run Stores,Average Purchase per Customer,1,Six months to Feb '17,0.0,September 2016 to August 2017,Biannual
Same Stores,Net Sales,1,Mar '17,-1.0999999999999943,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Mar '17,6.599999999999994,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Mar '17,-7.200000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Mar '17,-1.7000000000000028,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Mar '17,7.099999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Mar '17,-8.299999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Mar '17,-1.2000000000000028,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Mar '17,6.5,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Mar '17,-7.200000000000003,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Apr '17,6.200000000000003,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Apr '17,11.400000000000006,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Apr '17,-4.700000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Apr '17,5.200000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Apr '17,12.099999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Apr '17,-6.099999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Apr '17,6.299999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Apr '17,11.700000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Apr '17,-4.799999999999997,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,May '17,2.4000000000000057,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,May '17,7.5,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,May '17,-4.700000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,May '17,1.2999999999999972,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,May '17,7.900000000000006,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,May '17,-6.099999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,May '17,2.200000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,May '17,7.5,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,May '17,-4.900000000000006,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Jun '17,4.099999999999994,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Jun '17,8.200000000000003,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Jun '17,-3.799999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Jun '17,2.700000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Jun '17,8.599999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Jun '17,-5.400000000000006,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Jun '17,3.799999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Jun '17,8.099999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Jun '17,-4.0,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Jul '17,3.700000000000003,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Jul '17,5.599999999999994,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Jul '17,-1.9000000000000057,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Jul '17,1.9000000000000057,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Jul '17,5.200000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Jul '17,-3.200000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Jul '17,3.299999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Jul '17,5.299999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Jul '17,-2.0,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Aug '17,-3.4000000000000057,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Aug '17,-4.099999999999994,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Aug '17,0.7000000000000028,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Aug '17,-3.9000000000000057,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Aug '17,-3.799999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Aug '17,-0.09999999999999432,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Aug '17,-3.5,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Aug '17,-4.0,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Aug '17,0.5999999999999943,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Six months to Aug '17,2.4000000000000057,September 2016 to August 2017,Biannual
Same Stores,Customer Numbers,1,Six months to Aug '17,6.099999999999994,September 2016 to August 2017,Biannual
Same Stores,Average Purchase per Customer,1,Six months to Aug '17,-3.5,September 2016 to August 2017,Biannual
Directly-Run Stores,Net Sales,0,Six months to Aug '17,1.2999999999999972,September 2016 to August 2017,Biannual
Directly-Run Stores,Customer Numbers,0,Six months to Aug '17,6.400000000000006,September 2016 to August 2017,Biannual
Directly-Run Stores,Average Purchase per Customer,0,Six months to Aug '17,-4.799999999999997,September 2016 to August 2017,Biannual
Directly-Run Stores,Net Sales,1,Six months to Aug '17,2.299999999999997,September 2016 to August 2017,Biannual
Directly-Run Stores,Customer Numbers,1,Six months to Aug '17,6.099999999999994,September 2016 to August 2017,Biannual
Directly-Run Stores,Average Purchase per Customer,1,Six months to Aug '17,-3.5999999999999943,September 2016 to August 2017,Biannual
Same Stores,Net Sales,1,Year to Aug '17,1.0999999999999943,September 2016 to August 2017,Annual
Same Stores,Customer Numbers,1,Year to Aug '17,2.9000000000000057,September 2016 to August 2017,Annual
Same Stores,Average Purchase per Customer,1,Year to Aug '17,-1.7999999999999972,September 2016 to August 2017,Annual
Directly-Run Stores,Net Sales,0,Year to Aug '17,0.4000000000000057,September 2016 to August 2017,Annual
Directly-Run Stores,Customer Numbers,0,Year to Aug '17,3.299999999999997,September 2016 to August 2017,Annual
Directly-Run Stores,Average Purchase per Customer,0,Year to Aug '17,-2.799999999999997,September 2016 to August 2017,Annual
Directly-Run Stores,Net Sales,1,Year to Aug '17,1.2000000000000028,September 2016 to August 2017,Annual
Directly-Run Stores,Customer Numbers,1,Year to Aug '17,3.0999999999999943,September 2016 to August 2017,Annual
Directly-Run Stores,Average Purchase per Customer,1,Year to Aug '17,-1.7999999999999972,September 2016 to August 2017,Annual
Same Stores,Net Sales,1,Sep '17,6.299999999999997,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Sep '17,3.9000000000000057,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Sep '17,2.299999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Sep '17,5.5,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Sep '17,3.799999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Sep '17,1.5999999999999943,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Sep '17,6.900000000000006,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Sep '17,3.9000000000000057,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Sep '17,2.9000000000000057,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Oct '17,8.900000000000006,September 2017 to August 2018,Monthly
Same Stores,Customer Numbers,1,Oct '17,5.0,September 2017 to August 2018,Monthly
Same Stores,Average Purchase per Customer,1,Oct '17,3.799999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,0,Oct '17,6.400000000000006,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,0,Oct '17,3.5,September 2017 to August 2018,Monthly
