Period,Openings,Closures,Term
August 2019,0,2,September 2018 to August 2019
July 2019,1,2,September 2018 to August 2019
June 2019,2,4,September 2018 to August 2019
May 2019,1,4,September 2018 to August 2019
April 2019,10,8,September 2018 to August 2019
March 2019,4,6,September 2018 to August 2019
February 2019,0,1,September 2018 to August 2019
January 2019,0,5,September 2018 to August 2019
December 2018,0,0,September 2018 to August 2019
November 2018,1,0,September 2018 to August 2019
October 2018,7,4,September 2018 to August 2019
September 2018,3,2,September 2018 to August 2019
