Period,Openings,Closures,Term
August 2018,0,4,September 2017 to August 2018
July 2018,0,1,September 2017 to August 2018
June 2018,0,1,September 2017 to August 2018
May 2018,0,0,September 2017 to August 2018
April 2018,4,2,September 2017 to August 2018
March 2018,4,2,September 2017 to August 2018
February 2018,0,2,September 2017 to August 2018
January 2018,0,2,September 2017 to August 2018
December 2017,1,0,September 2017 to August 2018
November 2017,1,0,September 2017 to August 2018
October 2017,2,3,September 2017 to August 2018
September 2017,4,2,September 2017 to August 2018
