Period,Openings,Closures,Term
September 2020,3,4,September 2020 to August 2021
October 2020,2,1,September 2020 to August 2021
November 2020,0,0,September 2020 to August 2021
December 2020,1,0,September 2020 to August 2021
January 2021,0,6,September 2020 to August 2021
February 2021,3,2,September 2020 to August 2021
March 2021,3,4,September 2020 to August 2021
April 2021,13,2,September 2020 to August 2021
May 2021,4,2,September 2020 to August 2021
June 2021,9,0,September 2020 to August 2021
July 2021,0,1,September 2020 to August 2021
August 2021,0,3,September 2020 to August 2021
