Period,Openings,Closures,Term
August 2020,1,2,September 2019 to August 2020
July 2020,0,1,September 2019 to August 2020
June 2020,5,3,September 2019 to August 2020
May 2020,1,3,September 2019 to August 2020
April 2020,3,2,September 2019 to August 2020
March 2020,6,3,September 2019 to August 2020
February 2020,0,2,September 2019 to August 2020
January 2020,0,4,September 2019 to August 2020
December 2019,0,0,September 2019 to August 2020
November 2019,4,5,September 2019 to August 2020
October 2019,8,5,September 2019 to August 2020
September 2019,4,6,September 2019 to August 2020
